amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	cpf	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
002-2508904-2089830	002-2508904-2089830	2023-02-26T07:12:17+00:00	2023-02-26T08:16:47+00:00	Cancelled	Amazon	Amazon.com			Expedited	REDACTED_1	Cancelled	0										JERSEY CITY	NJ	07306-6802	US			FALSE			FALSE
003-8332030-3043464	003-8332030-3043464	2023-02-26T07:07:05+00:00	2023-03-21T06:39:10+00:00	Complete	Amazon	Amazon.com			Standard	REDACTED_1	Return Complete	1	USD	0								SAN FRANCISCO	CA	94111-6221	US			FALSE			FALSE
002-5809232-5634650	002-5809232-5634650	2023-02-26T06:44:35+00:00	2023-02-26T19:20:03+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	19	1.73							MORGAN HILL	CA	95037-7533	US			FALSE			FALSE
003-9382685-5633858	003-9382685-5633858	2023-02-26T06:43:15+00:00	2023-02-27T20:36:18+00:00	Shipped	Amazon	Amazon.com			NextDay	REDACTED_1	Shipped	1	USD	21	1.76							LAS VEGAS	NV	89166-5044	US			FALSE			FALSE
003-9805033-6555443	003-9805033-6555443	2023-02-26T06:42:57+00:00	2023-02-27T05:27:46+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	19	1.67							AVONDALE	AZ	85323-2338	US			FALSE			FALSE
003-3330383-2340035	003-3330383-2340035	2023-02-26T06:41:32+00:00	2023-02-26T18:24:34+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	0								BELLEVUE	WA	98005-5010	US			FALSE			FALSE
004-3389380-5500009	004-3389380-5500009	2023-02-26T06:37:40+00:00	2023-03-01T00:37:59+00:00	Shipped	Amazon	Amazon.com			Standard	REDACTED_1	Shipped	1	USD	125	12.81							SEATTLE	WA	98115-7313	US			FALSE			FALSE
003-4430606-2020853	003-4430606-2020853	2023-02-26T06:30:05+00:00	2023-02-27T04:59:22+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	31	2.42							GILBERT	AZ	85297-9658	US			FALSE			FALSE
000-5693420-0440000	000-5693420-0440000	2023-02-26T06:21:08+00:00	2023-02-27T06:38:25+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	24	2.22							SAN RAFAEL	CA	94903-5106	US			FALSE			FALSE
004-4309840-6892263	004-4309840-6892263	2023-02-26T06:20:26+00:00	2023-02-26T18:25:25+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	210	19.95							ARCADIA	CA	91006-5733	US			FALSE			FALSE
002-2323666-9333039	002-2323666-9333039	2023-02-26T06:15:52+00:00	2023-03-02T13:37:08+00:00	Shipped	Amazon	Amazon.com			Standard	REDACTED_1	Shipped	1	USD	210								MONMOUTH	OR	97361	US			FALSE			FALSE
002-2405668-2409866	002-2405668-2409866	2023-02-26T06:12:32+00:00	2023-02-27T02:20:14+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	24	2.46							SOUTH GATE	CA	90280-2309	US			FALSE			FALSE
000-0399360-3433825	000-0399360-3433825	2023-02-26T06:04:44+00:00	2023-02-26T14:04:59+00:00	Cancelled	Amazon	Amazon.com			Standard	REDACTED_1	Cancelled	0										SUFFOLK	VA	23434-8277	US			FALSE			FALSE
002-0254492-4565050	002-0254492-4565050	2023-02-26T06:04:19+00:00	2023-03-12T01:32:02+00:00	Shipped	Amazon	Amazon.com			SecondDay	REDACTED_1	Shipped	1	USD	44.95	4.27							LOS ANGELES	CA	90049-1526	US			FALSE			FALSE
004-2466830-4335435	004-2466830-4335435	2023-02-26T05:50:23+00:00	2023-03-13T19:27:49+00:00	Shipped	Amazon	Amazon.com			SecondDay	REDACTED_1	Shipped	1	USD	29.95	2.77							HENDERSONVILLE	TN	37075-7229	US			FALSE			FALSE
004-5605285-4438639	004-5605285-4438639	2023-02-26T05:48:13+00:00	2023-02-28T04:27:02+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_1	Shipped	1	USD	31	2.56							AUSTIN	TX	78732-2387	US			FALSE			FALSE
002-6605869-8299458	002-6605869-8299458	2023-02-26T05:41:14+00:00	2023-03-05T15:02:13+00:00	Cancelled	Amazon	Amazon.com			SecondDay	REDACTED_1	Cancelled	0										CASTLE ROCK	CO	80104-7959	US			FALSE			FALSE
